Timestamp,Name of your startup,In which sector does your startup belongs to ?,What are the top challenges your startup is currently facing ?,How would you rate the the ease of accessing government schemes and support ?,Have government schemes helped in improving your startup's access to funding or resources ?,On a scale  of 1 to 5 how would you rate the overall startup ecosystem in Kerala ?,What would you suggest to improve Kerala's startup ecosystem ?,What role do you think government incubators and accelerators have played in your startup's journey ?,What are the key challenges your startup encounters while hiring and retaining skilled talent within Kerala ?,What are the key challenges you face in accessing investors within the Kerala ecosystem?," On a scale of 1-5, how would you rate the availability of skilled labor in Kerala for your startup's needs? ",What are the key advantage of starting a business in Kerala? ,How competitive do you find the startup landscape in Kerala ? ,What emerging trend or technology do you see influencing the startup ecosystem in Kerala over the next few years ? , In your opinion what is the likelihood (in percentage) that a startup will survive in Kerala’s current ecosystem ? ,Is there any specific sector in Kerala that you believe which receive more support or attention compared to other ? ,What is the percentage probability that a startup will receive external funding? 
10/05/2024 16:47:03,GLAD HYDROGEN CLINIC,HealthTech,"Access to funding, Hiring talent",3.0,No,2.0,"Policy reforms, Better infrastructure","Crucial support for early stages, Boosting credibility and visibility, Access to networks and partnerships","Skill gap and talent shortage, Retention and competition","Lack of Investor Networks, Geographic constraints like distance from major investment hubs like Bangalore                                                              Mumbai",3.0,"Skilled workforce, Quality of life",Highly competitive in certain sectors,"Artificial intelligence and machine learning, Blockchain and fintech",upto 10%,Health Tech,10-20%
11/25/2024 05:07:53,ACETROOP CREATIONS LLP,Edtech,"Access to funding, Hiring talent",3.0,No,3.0,Better infrastructure,"Crucial support for early stages, Access to networks and partnerships","Retention and competition, Limited industry exposure",Lack of Investor Networks,4.0,Skilled workforce,Moderately competitive but growing,Artificial intelligence and machine learning,upto 10%,IT/ITes,upto 10%
11/15/2024 03:36:51,Tinklearn Education Pvt Ltd,IT/ITeS,"Access to funding, Market competition",3.0,No,4.0,Better infrastructure,"Crucial support for early stages, Access to networks and partnerships","Retention and competition, Limited industry exposure",Geographic constraints like distance from major investment hubs like Bangalore                                                              Mumbai,3.0,"Skilled workforce, Quality of life",Highly competitive in certain sectors,Artificial intelligence and machine learning,10-20%,IT/ITes,10-20%
12/17/2024 11:00:12,QBAY Associates,Fintech,"Access to funding, Market competition, Regulatory hurdles",1.0,No,3.0,"Policy reforms, Improved networking oppurtunities","Crucial support for early stages, Boosting credibility and visibility","Skill gap and talent shortage, Work culture and migration","Lack of Investor Networks, Investors hesitant to invest in early-stage startups, Geographic constraints like distance from major investment hubs like Bangalore                                                              Mumbai",4.0,"Skilled workforce, Quality of life",Highly competitive in certain sectors,Artificial intelligence and machine learning,upto 10%,IT/ITes,upto 10%
01/14/2025 04:44:30,VAMS VETERINARY CONSULTANCY PRIVATE LIMITED,IT/ITeS,Access to funding,2.0,No,2.0,"More access to funding, Better infrastructure","Crucial support for early stages, Access to networks and partnerships","Retention and competition, Work culture and migration",Investors hesitant to invest in early-stage startups,4.0,"Quality of life, Social infrastructure & connectivity",Highly competitive in certain sectors,Artificial intelligence and machine learning,20-30%,Edtech,upto 10%
10/27/2024 10:08:15,saspo world technologies pvt ltd ,Edtech,"Hiring talent, Market competition",3.0,Partially,3.0,Policy reforms,Crucial support for early stages,Skill gap and talent shortage,Lack of Investor Networks,3.0,Quality of life,Moderately competitive but growing,"Artificial intelligence and machine learning, Sustainable and green technologies",20-30%,IT/ITes,20-30%
09/18/2024 11:20:33,punarjeeva technology solutions llp,Edtech,Market competition,4.0,Partially,4.0,Better infrastructure,Boosting credibility and visibility,"Skill gap and talent shortage, Limited industry exposure",Investors hesitant to invest in early-stage startups,3.0,Quality of life,Highly competitive in certain sectors,Artificial intelligence and machine learning,30-40%,IT/ITes,30-40%
09/05/2024 13:09:51,Intuismart Solutions ,HealthTech,Access to funding,3.0,No,3.0,Better infrastructure,Crucial support for early stages,Limited industry exposure,Lack of Investor Networks,4.0,Skilled workforce,Moderately competitive but growing,Artificial intelligence and machine learning,upto 10%,Edtech,upto 10%
12/28/2024 23:09:50,Safetik Safety Solutions,IOT,"Access to funding, Hiring talent, Market competition, Infrastructure issues",3.0,No,2.0,Policy reforms,"Crucial support for early stages, Limited impact or bureaucratic delays","Skill gap and talent shortage, Limited industry exposure, Work culture and migration","Lack of Investor Networks, Geographic constraints like distance from major investment hubs like Bangalore                                                              Mumbai",2.0,"Skilled workforce, Quality of life",Highly competitive in certain sectors,"Artificial intelligence and machine learning, Sustainable and green technologies, Blockchain and fintech",20-30%,IT/ITes,upto 10%
10/03/2024 21:35:58,Nestabide,Artificial Intelligence,"Access to funding, Hiring talent",3.0,Partially,3.0,"Policy reforms, More access to funding",Crucial support for early stages,"Skill gap and talent shortage, Work culture and migration",Investors hesitant to invest in early-stage startups,3.0,"Quality of life, Social infrastructure & connectivity",Less competetive compared to larger hubs,"Artificial intelligence and machine learning, Sustainable and green technologies",30-40%,IT/ITes,10-20%
11/22/2024 08:54:25,Ranksurge Learning Pvt Ltd,Edtech,Hiring talent,1.0,No,2.0,Improved networking oppurtunities,,Skill gap and talent shortage,,1.0,Others,Moderately competitive but growing,Artificial intelligence and machine learning,20-30%,IOT,20-30%
11/13/2024 10:42:32,Unicornic Transport ,Artificial Intelligence,Hiring talent,4.0,No,3.0,More access to funding,Crucial support for early stages,Skill gap and talent shortage,Investors hesitant to invest in early-stage startups,2.0,Social infrastructure & connectivity,Moderately competitive but growing,Blockchain and fintech,20-30%,IT/ITes,10-20%
01/20/2025 01:02:01,Diginest Research ,IOT,Access to funding,2.0,No,4.0,Policy reforms,Crucial support for early stages,Skill gap and talent shortage,"Lack of Investor Networks, Investors hesitant to invest in early-stage startups",2.0,Social infrastructure & connectivity,Moderately competitive but growing,Artificial intelligence and machine learning,upto 10%,Edtech,upto 10%
10/15/2024 00:09:31,HYGIENESSENCE PRIVATE LIMITED,HealthTech,"Access to funding, Regulatory hurdles",2.0,,2.0,"Policy reforms, Better infrastructure, Improved networking oppurtunities","Boosting credibility and visibility, Access to networks and partnerships","Retention and competition, Limited industry exposure","Lack of Investor Networks, Geographic constraints like distance from major investment hubs like Bangalore                                                              Mumbai",4.0,"Skilled workforce, Quality of life",Moderately competitive but growing,Artificial intelligence and machine learning,10-20%,IT/ITes,upto 10%
10/30/2024 10:45:27,Venturevillage Learning Solutions India Private Limited,Edtech,"Access to funding, Market competition",3.0,Partially,4.0,Better infrastructure,Limited impact or bureaucratic delays,Retention and competition,Lack of Investor Networks,4.0,Government support & startup ecosystem,Moderately competitive but growing,Artificial intelligence and machine learning,10-20%,IT/ITes,10-20%
12/16/2024 10:12:24,Infinicomm solutions India pvt ltd,IOT,"Hiring talent, Market competition",3.0,Partially,3.0,Improved networking oppurtunities,Crucial support for early stages,"Skill gap and talent shortage, Work culture and migration",Lack of Investor Networks,3.0,Quality of life,Highly competitive in certain sectors,Artificial intelligence and machine learning,20-30%,IT/ITes,20-30%
11/03/2024 18:03:21,Nestabide,Artificial Intelligence,"Access to funding, Hiring talent",3.0,Partially,3.0,Policy reforms,Crucial support for early stages,Skill gap and talent shortage,Lack of Investor Networks,3.0,Quality of life,Moderately competitive but growing,"Artificial intelligence and machine learning, Sustainable and green technologies",30-40%,IT/ITes,30-40%
10/01/2024 21:50:15,Edusat Learning Pvt Ltd,Edtech,"Access to funding, Market competition, Infrastructure issues",4.0,No,4.0,"Policy reforms, Improved networking oppurtunities","Crucial support for early stages, Boosting credibility and visibility",Retention and competition,Lack of Investor Networks,3.0,"Skilled workforce, Quality of life",Highly competitive in certain sectors,Artificial intelligence and machine learning,10-20%,IT/ITes,upto 10%
12/11/2024 20:48:30,ARTOB AI PRIVATEIMITED,IT/ITeS,Market competition,4.0,Partially,3.0,Better infrastructure,Boosting credibility and visibility,Work culture and migration,Geographic constraints like distance from major investment hubs like Bangalore                                                              Mumbai,4.0,Government support & startup ecosystem,Less competetive compared to larger hubs,Blockchain and fintech,30-40%,Edtech,20-30%
12/22/2024 13:42:41,Greenikk Sustainable Ventures Pvt Ltd,Others,Infrastructure issues,3.0,Partially,3.0,More access to funding,Crucial support for early stages,Work culture and migration,Lack of Investor Networks,3.0,Government support & startup ecosystem,Highly competitive in certain sectors,Artificial intelligence and machine learning,40-50%,IOT,30-40%
10/02/2024 07:04:01,Stoic solution ,Others,Infrastructure issues,2.0,No,3.0,Improved networking oppurtunities,Limited impact or bureaucratic delays,"Retention and competition, Work culture and migration","Geographic constraints like distance from major investment hubs like Bangalore                                                              Mumbai, Complex procedures or regulations that make it harder to pitch to investors, Fewer angel investor groups, venture capital firms, or funding institutions specific to Kerala.",4.0,"Quality of life, Government support & startup ecosystem, Social infrastructure & connectivity",Highly competitive in certain sectors,Blockchain and fintech,30-40%,Edtech,10-20%
01/06/2025 23:01:41,Jincy jose associates corporate solutions pvt ltd,Fintech,"Access to funding, Hiring talent",3.0,Yes,3.0,"Policy reforms, More access to funding","Crucial support for early stages, Boosting credibility and visibility",Work culture and migration,Lack of Investor Networks,3.0,Quality of life,Highly competitive in certain sectors,"Artificial intelligence and machine learning, Sustainable and green technologies",20-30%,IT/ITes,20-30%
12/28/2024 14:03:36,Trinitine Innovations Llp,HealthTech,Access to funding,3.0,Partially,2.0,Policy reforms,Crucial support for early stages,Limited industry exposure,"Fewer angel investor groups, venture capital firms, or funding institutions specific to Kerala.",3.0,Social infrastructure & connectivity,Moderately competitive but growing,Artificial intelligence and machine learning,10-20%,IT/ITes,10-20%
12/11/2024 20:58:21,skillswarm solutions pvt ltd,Edtech,"Hiring talent, Market competition",3.0,Partially,3.0,Better infrastructure,Crucial support for early stages,Skill gap and talent shortage,Lack of Investor Networks,3.0,Quality of life,Moderately competitive but growing,"Artificial intelligence and machine learning, Sustainable and green technologies",20-30%,IT/ITes,20-30%
12/28/2024 10:12:17,Dopa doctors own ,Edtech,"Access to funding, Market competition",4.0,No,3.0,"Policy reforms, Better infrastructure, Improved networking oppurtunities","Crucial support for early stages, Limited impact or bureaucratic delays","Skill gap and talent shortage, Retention and competition","Investors hesitant to invest in early-stage startups, Complex procedures or regulations that make it harder to pitch to investors",3.0,"Skilled workforce, Quality of life",Highly competitive in certain sectors,Health tech and telemedicine,10-20%,IT/ITes,upto 10%
01/05/2025 20:06:03,Wizbound Technologies,Artificial Intelligence,"Access to funding, Hiring talent",2.0,No,3.0,Policy reforms,Crucial support for early stages,Skill gap and talent shortage,"Lack of Investor Networks, Investors hesitant to invest in early-stage startups",2.0,Quality of life,Moderately competitive but growing,Sustainable and green technologies,upto 10%,IT/ITes,upto 10%
10/12/2024 00:06:10,Nivion systems pvt ltd,Artificial Intelligence,Hiring talent,3.0,Partially,3.0,More access to funding,Crucial support for early stages,Skill gap and talent shortage,Investors hesitant to invest in early-stage startups,3.0,Quality of life,Highly competitive in certain sectors,"Artificial intelligence and machine learning, Sustainable and green technologies",30-40%,IT/ITes,30-40%
12/03/2024 00:54:10,Intioz technologies pvt ltd,Artificial Intelligence,"Hiring talent, Market competition",3.0,Partially,3.0,"More access to funding, Improved networking oppurtunities",Crucial support for early stages,Skill gap and talent shortage,Lack of Investor Networks,3.0,Quality of life,Moderately competitive but growing,"Artificial intelligence and machine learning, Sustainable and green technologies",20-30%,IT/ITes,20-30%
11/30/2024 04:50:04,TECNO STAC SYSSTEM PRIVATE LIMITED ,Fintech,"Access to funding, Market competition, Regulatory hurdles",3.0,No,4.0,"Policy reforms, Improved networking oppurtunities","Boosting credibility and visibility, Access to networks and partnerships",Limited industry exposure,"Geographic constraints like distance from major investment hubs like Bangalore                                                              Mumbai, Fewer angel investor groups, venture capital firms, or funding institutions specific to Kerala.",2.0,"Government support & startup ecosystem, Social infrastructure & connectivity",Collaborative more than competetive,"Artificial intelligence and machine learning, Health tech and telemedicine",20-30%,IOT,20-30%
10/17/2024 06:34:57,Four angle health solutions pvt ltd,HealthTech,Market competition,3.0,Yes,3.0,"More access to funding, Better infrastructure",Access to networks and partnerships,Skill gap and talent shortage,Investors hesitant to invest in early-stage startups,3.0,Quality of life,Moderately competitive but growing,"Artificial intelligence and machine learning, Sustainable and green technologies",10-20%,IT/ITes,10-20%
10/31/2024 02:32:55,AVIO CONCEPT LLP,IT/ITeS,Regulatory hurdles,3.0,No,3.0,Improved networking oppurtunities,Access to networks and partnerships,Limited industry exposure,Geographic constraints like distance from major investment hubs like Bangalore                                                              Mumbai,2.0,Government support & startup ecosystem,Collaborative more than competetive,Health tech and telemedicine,40-50%,IOT,
12/11/2024 21:48:59,Infoniz technologies pvt ltd,HealthTech,"Hiring talent, Market competition",3.0,Partially,3.0,"More access to funding, Improved networking oppurtunities",Crucial support for early stages,Skill gap and talent shortage,Lack of Investor Networks,3.0,"Quality of life, Social infrastructure & connectivity",Moderately competitive but growing,"Artificial intelligence and machine learning, Sustainable and green technologies",20-30%,IT/ITes,10-20%
11/10/2024 10:14:50,DBA Product Solutions,HealthTech,"Access to funding, Infrastructure issues",3.0,No,2.0,"Policy reforms, More access to funding, Better infrastructure","Crucial support for early stages, Boosting credibility and visibility","Skill gap and talent shortage, Retention and competition, Limited industry exposure","Lack of Investor Networks, Investors hesitant to invest in early-stage startups, Geographic constraints like distance from major investment hubs like Bangalore                                                              Mumbai",2.0,"Skilled workforce, Quality of life, Social infrastructure & connectivity",Moderately competitive but growing,"Artificial intelligence and machine learning, Blockchain and fintech, Health tech and telemedicine",10-20%,IT/ITes,10-20%
12/11/2024 15:35:29,Drakon Innovations Pvt Ltd,Others,Access to funding,,,,,,,"Investors hesitant to invest in early-stage startups, Fewer angel investor groups, venture capital firms, or funding institutions specific to Kerala.",3.0,,Moderately competitive but growing,Artificial intelligence and machine learning,40-50%,IOT,30-40%
01/10/2025 22:29:26,Ozzari Innovations Private Limited,IOT,"Access to funding, Hiring talent, Infrastructure issues",2.0,No,3.0,"Policy reforms, More access to funding, Better infrastructure","Crucial support for early stages, Access to networks and partnerships, Limited impact or bureaucratic delays","Skill gap and talent shortage, Work culture and migration","Lack of Investor Networks, Investors hesitant to invest in early-stage startups",3.0,"Skilled workforce, Government support & startup ecosystem, Social infrastructure & connectivity",Highly competitive in certain sectors,Artificial intelligence and machine learning,10-20%,Fintech,upto 10%
11/28/2024 05:43:19,Docker Vision Pvt Ltd,Artificial Intelligence,Access to funding,3.0,Partially,3.0,More access to funding,Crucial support for early stages,Skill gap and talent shortage,Lack of Investor Networks,3.0,Quality of life,Moderately competitive but growing,Artificial intelligence and machine learning,40-50%,IOT,30-40%
01/14/2025 01:56:54,Clowderin llp,Edtech,"Market competition, Infrastructure issues",2.0,Partially,4.0,Improved networking oppurtunities,Crucial support for early stages,Skill gap and talent shortage,"Lack of Investor Networks, Investors hesitant to invest in early-stage startups",3.0,Social infrastructure & connectivity,Moderately competitive but growing,Blockchain and fintech,upto 10%,IOT,upto 10%
09/05/2024 01:27:43,Hubwords Pvt. Ltd.,Fintech,"Access to funding, Infrastructure issues",2.0,No,3.0,"Policy reforms, Better infrastructure","Crucial support for early stages, Access to networks and partnerships",Skill gap and talent shortage,"Investors hesitant to invest in early-stage startups, Complex procedures or regulations that make it harder to pitch to investors, Fewer angel investor groups, venture capital firms, or funding institutions specific to Kerala.",5.0,"Skilled workforce, Quality of life, Social infrastructure & connectivity",Highly competitive in certain sectors,Health tech and telemedicine,10-20%,,10-20%
01/26/2025 02:33:17,Intioz technologies pvt ltd,Artificial Intelligence,"Access to funding, Hiring talent",3.0,Partially,3.0,"More access to funding, Improved networking oppurtunities",Crucial support for early stages,"Skill gap and talent shortage, Work culture and migration",Investors hesitant to invest in early-stage startups,4.0,"Skilled workforce, Quality of life",Moderately competitive but growing,Sustainable and green technologies,40-50%,IT/ITes,30-40%
11/24/2024 17:26:32,Willingdon Island Gate Pvt Ltd,IOT,Hiring talent,2.0,No,2.0,Better infrastructure,Crucial support for early stages,Skill gap and talent shortage,Lack of Investor Networks,2.0,Quality of life,Highly competitive in certain sectors,Sustainable and green technologies,upto 10%,IT/ITes,10-20%
10/10/2024 07:43:32,Nyro Research Pvt Ltd,Artificial Intelligence,"Access to funding, Hiring talent, Regulatory hurdles, Infrastructure issues",3.0,No,2.0,Policy reforms,"Crucial support for early stages, Limited impact or bureaucratic delays","Retention and competition, Limited industry exposure",Geographic constraints like distance from major investment hubs like Bangalore                                                              Mumbai,3.0,"Quality of life, Social infrastructure & connectivity",,"Artificial intelligence and machine learning, Health tech and telemedicine",10-20%,Health Tech,upto 10%
11/30/2024 15:54:22,NATURE RICH HERBELS,HealthTech,"Market competition, Infrastructure issues",4.0,Partially,4.0,"Policy reforms, Better infrastructure","Crucial support for early stages, Boosting credibility and visibility","Skill gap and talent shortage, Work culture and migration","Investors hesitant to invest in early-stage startups, Geographic constraints like distance from major investment hubs like Bangalore                                                              Mumbai",3.0,"Quality of life, Government support & startup ecosystem",Less competetive compared to larger hubs,Artificial intelligence and machine learning,20-30%,Health Tech,30-40%
10/25/2024 03:58:16,Tender Call International LLP,IT/ITeS,"Access to funding, Market competition, Infrastructure issues",3.0,No,2.0,"Policy reforms, More access to funding, Improved networking oppurtunities","Crucial support for early stages, Boosting credibility and visibility","Skill gap and talent shortage, Retention and competition, Work culture and migration","Lack of Investor Networks, Complex procedures or regulations that make it harder to pitch to investors, Fewer angel investor groups, venture capital firms, or funding institutions specific to Kerala.",2.0,"Skilled workforce, Quality of life",Highly competitive in certain sectors,"Artificial intelligence and machine learning, Sustainable and green technologies, Blockchain and fintech, Health tech and telemedicine",10-20%,IOT,10-20%
01/03/2025 13:26:12,Focuzsoft Technologies,HealthTech,Access to funding,3.0,Partially,3.0,Better infrastructure,"Crucial support for early stages, Access to networks and partnerships",Skill gap and talent shortage,"Lack of Investor Networks, Fewer angel investor groups, venture capital firms, or funding institutions specific to Kerala.",3.0,"Skilled workforce, Quality of life",Moderately competitive but growing,Artificial intelligence and machine learning,10-20%,IT/ITes,10-20%
12/20/2024 18:51:14,Meem Edtech,Edtech,"Access to funding, Market competition, Infrastructure issues",3.0,No,2.0,"Policy reforms, More access to funding","Crucial support for early stages, Access to networks and partnerships","Retention and competition, Work culture and migration","Lack of Investor Networks, Investors hesitant to invest in early-stage startups, Geographic constraints like distance from major investment hubs like Bangalore                                                              Mumbai",3.0,"Skilled workforce, Quality of life",Highly competitive in certain sectors,Artificial intelligence and machine learning,upto 10%,Health Tech,upto 10%
12/16/2024 05:26:14,Lead maturation India pvt ltd,Fintech,"Access to funding, Hiring talent, Market competition",3.0,Partially,3.0,"Policy reforms, Better infrastructure",Crucial support for early stages,Skill gap and talent shortage,Lack of Investor Networks,3.0,Quality of life,Moderately competitive but growing,"Artificial intelligence and machine learning, Sustainable and green technologies",20-30%,IT/ITes,10-20%
09/10/2024 00:52:47,KAAISFOODS LLP,Others,"Access to funding, Market competition",3.0,Partially,3.0,"Better infrastructure, Improved networking oppurtunities","Boosting credibility and visibility, Access to networks and partnerships","Limited industry exposure, Work culture and migration","Geographic constraints like distance from major investment hubs like Bangalore                                                              Mumbai, Complex procedures or regulations that make it harder to pitch to investors",3.0,"Government support & startup ecosystem, Social infrastructure & connectivity",Less competetive compared to larger hubs,"Artificial intelligence and machine learning, Sustainable and green technologies",20-30%,Edtech,10-20%
01/25/2025 09:54:49,Miztech AI,Artificial Intelligence,"Market competition, Regulatory hurdles",3.0,Yes,4.0,"Policy reforms, More access to funding, Better infrastructure","Crucial support for early stages, Access to networks and partnerships","Skill gap and talent shortage, Retention and competition, Limited industry exposure, Work culture and migration","Investors hesitant to invest in early-stage startups, Complex procedures or regulations that make it harder to pitch to investors, Fewer angel investor groups, venture capital firms, or funding institutions specific to Kerala.",4.0,"Quality of life, Government support & startup ecosystem",Collaborative more than competetive,"Artificial intelligence and machine learning, Blockchain and fintech",20-30%,Fintech,10-20%
09/25/2024 23:12:17,Iotides pvt ltd,IOT,"Hiring talent, Market competition",3.0,Partially,3.0,"More access to funding, Better infrastructure",Crucial support for early stages,Skill gap and talent shortage,Lack of Investor Networks,3.0,"Skilled workforce, Quality of life",Highly competitive in certain sectors,"Artificial intelligence and machine learning, Sustainable and green technologies",10-20%,IT/ITes,20-30%
12/17/2024 23:33:47,Zygene biotechnologies,HealthTech,Access to funding,4.0,Yes,4.0,Policy reforms,Access to networks and partnerships,"Limited industry exposure, Work culture and migration","Fewer angel investor groups, venture capital firms, or funding institutions specific to Kerala.",3.0,"Quality of life, Government support & startup ecosystem",Collaborative more than competetive,Blockchain and fintech,upto 10%,IT/ITes,upto 10%
10/31/2024 13:51:01,Algorithma Digitech Pvt Ltd,Fintech,Hiring talent,3.0,Partially,3.0,Improved networking oppurtunities,Crucial support for early stages,Skill gap and talent shortage,Lack of Investor Networks,3.0,Government support & startup ecosystem,Moderately competitive but growing,Blockchain and fintech,40-50%,IOT,30-40%
11/18/2024 17:22:23,tenova systems pvt ltd,IOT,"Market competition, Infrastructure issues",3.0,No,3.0,"Policy reforms, More access to funding",Limited impact or bureaucratic delays,Retention and competition,Investors hesitant to invest in early-stage startups,3.0,Quality of life,Less competetive compared to larger hubs,"Artificial intelligence and machine learning, Sustainable and green technologies",30-40%,IOT,30-40%
11/28/2024 00:44:59,IBOTS IN ARTIFICIAL INTELLIGENCE PRIVATELIMITED,Artificial Intelligence,"Access to funding, Infrastructure issues",1.0,No,3.0,"Policy reforms, Better infrastructure","Crucial support for early stages, Access to networks and partnerships",Work culture and migration,"Geographic constraints like distance from major investment hubs like Bangalore                                                              Mumbai, Complex procedures or regulations that make it harder to pitch to investors",5.0,"Skilled workforce, Quality of life, Social infrastructure & connectivity",Highly competitive in certain sectors,Artificial intelligence and machine learning,10-20%,IT/ITes,upto 10%
09/24/2024 20:32:42,Futuring learing solutions pvt ltd,Edtech,Hiring talent,3.0,Partially,3.0,More access to funding,Boosting credibility and visibility,"Skill gap and talent shortage, Work culture and migration",Lack of Investor Networks,3.0,"Quality of life, Social infrastructure & connectivity",Highly competitive in certain sectors,"Artificial intelligence and machine learning, Sustainable and green technologies",30-40%,IT/ITes,20-30%
11/20/2024 09:33:11,Insent App India ,IT/ITeS,Access to funding,2.0,Partially,2.0,More access to funding,Access to networks and partnerships,Skill gap and talent shortage,Investors hesitant to invest in early-stage startups,2.0,Social infrastructure & connectivity,Moderately competitive but growing,"Artificial intelligence and machine learning, Blockchain and fintech",20-30%,Health Tech,10-20%
11/04/2024 18:40:40,Playmakers games and events pvt ltd,HealthTech,"Access to funding, Hiring talent",3.0,Partially,3.0,Policy reforms,Crucial support for early stages,Skill gap and talent shortage,Lack of Investor Networks,3.0,Skilled workforce,Moderately competitive but growing,"Artificial intelligence and machine learning, Sustainable and green technologies",40-50%,IT/ITes,20-30%
12/23/2024 23:46:20,qore3 innovations pvt ltd,Edtech,"Hiring talent, Market competition",3.0,Partially,3.0,Improved networking oppurtunities,Boosting credibility and visibility,Skill gap and talent shortage,Lack of Investor Networks,3.0,Quality of life,Moderately competitive but growing,Artificial intelligence and machine learning,30-40%,Health Tech,20-30%
01/29/2025 23:56:57,IIoTNext ,IOT,Hiring talent,3.0,No,3.0,"More access to funding, Improved networking oppurtunities",Limited impact or bureaucratic delays,"Skill gap and talent shortage, Work culture and migration","Fewer angel investor groups, venture capital firms, or funding institutions specific to Kerala.",3.0,"Quality of life, Social infrastructure & connectivity",Collaborative more than competetive,Artificial intelligence and machine learning,10-20%,,upto 10%
12/17/2024 16:38:02,cure delivery tech,HealthTech,Infrastructure issues,4.0,Yes,4.0,Improved networking oppurtunities,Access to networks and partnerships,Limited industry exposure,Geographic constraints like distance from major investment hubs like Bangalore                                                              Mumbai,4.0,Skilled workforce,Highly competitive in certain sectors,Artificial intelligence and machine learning,20-30%,Edtech,10-20%
11/21/2024 10:55:44,Mighty seed designs limited liability partnership,IOT,Access to funding,3.0,Yes,3.0,More access to funding,Crucial support for early stages,Work culture and migration,Lack of Investor Networks,3.0,Quality of life,Moderately competitive but growing,Artificial intelligence and machine learning,30-40%,IT/ITes,30-40%
10/20/2024 12:37:11,TRANSVIBE GLOBAL TECHNOLOGIES AND SERVICES PRIVATE LIMITED,Fintech,Access to funding,2.0,No,3.0,More access to funding,Access to networks and partnerships,Skill gap and talent shortage,Lack of Investor Networks,3.0,Quality of life,Moderately competitive but growing,Artificial intelligence and machine learning,upto 10%,IT/ITes,upto 10%
01/29/2025 12:42:08,ETLAB INFOTECH,Edtech,"Access to funding, Market competition",3.0,No,4.0,"Policy reforms, Improved networking oppurtunities","Crucial support for early stages, Boosting credibility and visibility","Retention and competition, Work culture and migration","Lack of Investor Networks, Geographic constraints like distance from major investment hubs like Bangalore                                                              Mumbai",2.0,"Skilled workforce, Quality of life, Social infrastructure & connectivity",Highly competitive in certain sectors,Artificial intelligence and machine learning,10-20%,IT/ITes,10-20%
10/24/2024 08:16:10,Eight Times Eight Pvt Ltd,Edtech,"Hiring talent, Market competition",3.0,No,3.0,Improved networking oppurtunities,Access to networks and partnerships,Skill gap and talent shortage,"Fewer angel investor groups, venture capital firms, or funding institutions specific to Kerala.",1.0,Others,Collaborative more than competetive,Artificial intelligence and machine learning,10-20%,Fintech,upto 10%
09/28/2024 10:53:29,NOCODE TECHNOLOGIES LLP,IT/ITeS,"Access to funding, Hiring talent",2.0,No,3.0,"Policy reforms, More access to funding, Better infrastructure, Improved networking oppurtunities",Limited impact or bureaucratic delays,"Skill gap and talent shortage, Retention and competition","Lack of Investor Networks, Investors hesitant to invest in early-stage startups, Geographic constraints like distance from major investment hubs like Bangalore                                                              Mumbai",2.0,Quality of life,Highly competitive in certain sectors,Artificial intelligence and machine learning,20-30%,IOT,upto 10%
12/17/2024 01:35:56,TRAVANCORE FINTECH PRIVATE LIMITED ,Fintech,"Market competition, Regulatory hurdles",2.0,No,3.0,"More access to funding, Improved networking oppurtunities","Boosting credibility and visibility, Limited impact or bureaucratic delays","Skill gap and talent shortage, Limited industry exposure",Geographic constraints like distance from major investment hubs like Bangalore                                                              Mumbai,2.0,"Skilled workforce, Social infrastructure & connectivity",Moderately competitive but growing,Blockchain and fintech,40-50%,Fintech,20-30%
11/02/2024 19:53:47,Arrivu LLP,Edtech,Market competition,4.0,Yes,4.0,Policy reforms,Crucial support for early stages,"Skill gap and talent shortage, Retention and competition",Geographic constraints like distance from major investment hubs like Bangalore                                                              Mumbai,4.0,"Skilled workforce, Quality of life",Moderately competitive but growing,Artificial intelligence and machine learning,10-20%,IT/ITes,upto 10%
09/28/2024 22:19:11,Kaudilya Enterprises,Edtech,"Access to funding, Market competition",3.0,No,3.0,"More access to funding, Better infrastructure",Crucial support for early stages,Limited industry exposure,Lack of Investor Networks,3.0,Quality of life,Highly competitive in certain sectors,Artificial intelligence and machine learning,upto 10%,IT/ITes,upto 10%
11/05/2024 19:04:30,Genanta pvt ltd,HealthTech,Hiring talent,3.0,Partially,3.0,"More access to funding, Better infrastructure",Crucial support for early stages,"Skill gap and talent shortage, Work culture and migration",Complex procedures or regulations that make it harder to pitch to investors,3.0,Quality of life,Moderately competitive but growing,Artificial intelligence and machine learning,20-30%,IT/ITes,10-20%
01/26/2025 21:55:06,Iotides pvt ltd,IOT,"Access to funding, Hiring talent",3.0,Partially,4.0,"More access to funding, Better infrastructure",Crucial support for early stages,Skill gap and talent shortage,Lack of Investor Networks,3.0,Quality of life,Moderately competitive but growing,"Artificial intelligence and machine learning, Sustainable and green technologies",40-50%,IT/ITes,30-40%
12/15/2024 01:21:30,Clap Research Pvt Ltd,HealthTech,"Access to funding, Hiring talent",2.0,No,3.0,Better infrastructure,Access to networks and partnerships,"Skill gap and talent shortage, Retention and competition, Work culture and migration","Lack of Investor Networks, Complex procedures or regulations that make it harder to pitch to investors, Fewer angel investor groups, venture capital firms, or funding institutions specific to Kerala.",2.0,Quality of life,Highly competitive in certain sectors,Artificial intelligence and machine learning,40-50%,Edtech,30-40%
